ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source,In Live Foods?,Synonyme,Originalname,ValiCheck B
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2389,Weißkraut,Weißkraut,,18,75,"1,2","0,2","2,8","2,8","2,9",0,0,0,"0,1",0,0,0,"22,6",0,"1,9","0,1",0,0,"0,1",0,0,0,"0,2","0,2",0,44,36,117,16,9,25,51,0,33,389,11,90,5,159,0,55,88,22,116,14,36,262,34,27,41,0,64,54,12,38,259,64,40,13,23,56,,,1,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Weißkraut,1
2390,Weißlachs,Weißlachs,,151,631,"21,7","6,7",0,0,0,0,"1,7","2,5","1,7",0,0,0,"3,2",0,"0,6",0,0,"0,1","1,1",0,0,0,"6,4",1,0,21,61,396,32,52,254,171,0,204,945,621,14,30,744,0,1325,1254,1293,1853,195,1892,2713,788,553,879,0,1552,1666,553,779,771,851,941,199,611,1023,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Lachs,,,,lexolino,No,,Weißlachs,1
2391,Weißlachs geräuchert,Weißlachs geräuchert,,156,652,"21,2","7,4",0,0,0,0,"1,8","2,9",2,0,0,0,"2,1",0,"0,6",0,0,"0,1","0,8",0,0,0,"5,7","0,7",0,23,66,315,29,57,264,196,0,202,851,651,17,37,970,0,1292,1161,382,2061,200,582,3136,842,557,1009,0,1722,2109,508,863,735,1044,919,204,743,1171,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Lachs,,,,lexolino,No,,Weißlachs geräuchert,1
2392,Weißlachs gesalzen,Weißlachs gesalzen,,152,636,"21,4",7,0,0,0,0,"1,9","2,5","1,8",0,0,0,"3,6",0,"0,7",0,"0,1","0,1","1,1",0,0,0,"7,3","1,1",0,44,4931,409,44,3383,308,218,0,209,1003,632,34,39,968,0,1356,1104,1128,1823,194,1633,2641,885,509,958,0,1543,1854,524,820,744,891,820,190,679,1070,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Lachs,,,,lexolino,No,,Weißlachs gesalzen,1
2393,Weißlachs Konserve,Weißlachs Konserve,,134,561,"17,9","6,6",0,0,0,0,"1,7","2,4","1,8",0,0,0,"1,8",0,"0,3",0,0,0,"0,6",0,0,0,"3,9","0,6",0,23,1293,329,25,924,232,154,0,166,812,469,17,25,631,0,1344,1129,32,2057,184,14,2534,894,534,913,0,1545,1940,550,790,775,911,831,200,615,1081,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Lachs,,,,lexolino,No,,Weißlachs Konserve,1
2394,Weißlacker,Weißlacker,,332,1391,20,"26,9",0,0,0,0,"16,7","7,7","1,1","0,1",0,"0,3",0,0,"0,9",0,0,"0,4","0,1",0,0,0,"0,1","0,8",0,396,1980,99,32,1512,318,209,0,78,376,96,29,21,2760,0,562,680,42,1203,87,27,4180,346,446,1030,0,1974,1620,442,1068,2180,988,771,260,1040,1348,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Weißlacker,1
2395,Weißlacker Fettstufe,Weißlacker Fettstufe,,277,1159,"23,1","19,7",0,0,0,0,"12,3","5,4","0,7",0,0,"0,3",0,0,"0,7",0,0,"0,4","0,1",0,0,0,"0,1","0,8",0,424,2020,91,32,1302,324,235,0,74,392,86,28,22,3060,0,630,690,390,1298,84,1260,4192,363,476,1145,0,2091,1717,531,1100,2257,1168,885,289,1155,1387,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Weißlacker Fettstufe,1
2396,Weißlacker Vollfettstufe,Weißlacker Vollfettstufe,,298,1248,22,"22,4",0,0,0,0,"13,5","6,7","0,9","0,1",0,"0,3",0,0,"0,7",0,"0,1","0,3","0,1",0,0,0,"0,1","0,8",0,412,2060,102,28,1330,315,231,0,75,372,91,29,21,3240,0,579,645,431,1226,81,1421,4043,353,489,1050,0,2054,1576,459,968,2063,1158,810,281,946,1415,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Weißlacker Vollfettstufe,1
2397,Weißsekt,Weißsekt,,16,65,"0,1",0,"3,7","3,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,11,7,55,8,3,11,1,0,9,465,19,132,10,29,0,3,7,11,3,2,62,17,2,1,2,0,2,4,0,1,12,4,12,0,1,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Weißsekt,1
2398,Weißwurst,Weißwurst,,183,765,"21,1","10,2","0,5","0,3","0,2",0,"3,6","4,8","1,1","0,1",0,0,"0,2",0,"0,5","0,1","1,6","0,4","1,1",0,0,0,"5,6","1,1",0,19,1762,794,61,1378,374,378,0,118,2007,129,157,2,4242,0,1227,1386,53,1916,265,103,3713,1139,707,956,0,1426,1990,536,833,956,849,859,258,827,1061,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Weißwurst,1
2399,Wels,Wels,,165,690,"15,1","11,1",0,0,0,0,"2,4","4,9","2,4","0,1",0,0,"1,3",0,"0,5",0,0,0,"0,2",0,0,0,"1,7","0,9",0,25,72,292,29,19,165,225,0,101,546,187,79,4,412,0,1018,964,198,1409,150,318,2260,619,374,734,0,1277,1324,378,633,587,697,627,156,540,884,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wels,1
2400,Wels gebraten,Wels gebraten,,173,724,"19,3","10,1",0,0,0,0,"2,2","4,7","2,1","0,2",0,0,1,0,"0,5",0,0,0,"0,2",0,0,0,"1,6","0,7",0,36,78,246,31,17,171,241,0,130,603,219,105,3,508,0,1192,1031,818,1930,194,1120,2645,716,461,850,0,1424,1714,494,728,660,874,798,181,645,872,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wels gebraten,1
2401,Wels gegart,Wels gegart,,169,707,"18,6",10,0,0,0,0,"1,9","4,7","2,1","0,2",0,0,1,0,"0,5",0,0,0,"0,2",0,0,0,"1,4","0,8",0,32,78,259,32,19,175,261,0,118,621,240,90,3,508,0,1261,1031,630,1665,188,924,2440,778,461,902,0,1509,1664,479,714,735,774,749,170,639,910,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wels gegart,1
2402,Wels geräuchert,Wels geräuchert,,172,721,"15,7","11,6",0,0,0,0,"2,4","5,6","2,4","0,1",0,0,"0,9",0,"0,5",0,0,0,"0,2",0,0,0,"1,3","0,7",0,27,72,269,29,20,142,218,0,105,607,186,89,4,436,0,1066,970,176,1584,159,261,2343,646,425,760,0,1185,1368,425,632,626,729,786,173,566,806,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wels geräuchert,1
2403,Wels gesalzen,Wels gesalzen,,159,666,"12,8","11,5",0,0,0,0,"2,4","5,4","2,5","0,2",0,0,"1,2",0,"0,5",0,0,0,"0,2",0,0,0,"1,6","0,9",0,62,9270,295,49,5688,166,232,0,124,580,188,116,7,455,0,974,888,0,1353,131,25,2163,642,374,615,0,1000,1337,360,492,540,674,578,151,484,777,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wels gesalzen,1
2404,Westfälinger (Wurst),Westfälinger (Wurst),,319,1333,"18,4","26,1","0,2","0,2",0,0,"9,1","12,2","2,7","0,1",0,0,0,0,"0,3",0,"0,8","0,2","0,5",0,0,0,"3,2","0,6",0,11,1372,228,29,984,99,212,0,77,1222,60,116,2,2313,0,1044,1263,10,1728,233,15,3006,988,720,937,0,1273,1709,524,855,818,798,930,227,748,926,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Westfälinger (Wurst),1
2405,Westfälinger grob,Westfälinger grob,,320,1339,"17,6","26,6","0,2","0,2","0,1",0,"9,5","12,8","2,9","0,1",0,0,0,0,"0,3",0,"0,6","0,2","0,4",0,0,0,"2,2","0,4",0,12,1170,284,23,817,143,144,0,59,895,47,87,2,1620,0,948,988,518,1538,194,894,2651,896,580,760,0,1148,1426,421,689,737,754,736,188,607,896,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Westfälinger grob,1
2406,Wiener Wurst,Wiener Wurst,,312,1307,"14,7","27,1","0,2","0,2","0,1",,"9,4","13,1","3,2","0,1",,0,"22,9",0,"0,3",0,"0,5","0,2","0,3",0,0,0,"2,5","0,3",,12,1104,236,18,804,132,135,,61,964,46,68,2,1622,,759,785,510,1330,167,802,2093,692,464,702,,940,1272,373,571,605,576,638,163,502,711,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Würstchen,,Fleisch,Fleisch & Fisch,lexolino,Yes,,Wiener Wurst,1
2407,Wildente,Wildente,,200,839,"16,2","14,5",0,0,0,0,"4,1","7,6","1,7","0,1",0,0,0,0,"0,2",0,"0,3","0,3","0,5",0,0,0,"3,1","0,8",0,5,57,259,20,53,180,202,0,321,4451,32,16,0,747,0,1184,1107,4,1629,249,34,2624,871,405,1025,0,1520,1633,550,724,822,743,810,237,702,987,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildente,1
2408,Wildente gegart,Wildente gegart,,245,1025,"23,8","15,9",0,0,0,0,"4,2","8,9","1,8","0,1",0,0,0,0,"0,2",0,"0,4","0,3","0,5",0,0,0,"2,8","0,6",0,5,57,268,19,57,163,215,0,326,4308,29,17,0,775,0,1398,1542,443,2203,302,653,3252,1259,532,1199,0,2038,1891,637,933,968,1057,1153,312,889,1137,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildente gegart,1
2409,Wildente Schenkel,Wildente Schenkel,,234,978,"14,6","18,7",0,0,0,0,"5,4","10,1","2,3","0,1",0,0,0,0,"0,1",0,"0,4","0,3","0,5",0,0,0,"3,2","0,7",0,8,56,193,16,48,239,186,0,293,3786,29,17,0,785,0,1020,980,0,1542,233,23,2186,803,381,857,0,1280,1351,442,610,650,740,808,222,616,926,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildente Schenkel,1
2410,Wildente Schenkel gegart,Wildente Schenkel gegart,,254,1061,"22,4","17,4",0,0,0,0,"4,9","9,2","2,2","0,1",0,0,0,0,"0,1",0,"0,4","0,3","0,5",0,0,0,"3,3","0,6",0,7,63,207,16,47,245,198,0,287,4204,30,17,0,825,0,1308,1387,760,1980,305,1074,2797,1153,540,1041,0,1867,1695,602,831,943,922,1057,275,760,1132,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildente Schenkel gegart,1
2411,Wildfrüchte,Wildfrüchte,,33,139,"0,3","0,5","6,7","7,1","2,7",0,0,"0,1","0,3",0,0,0,11,0,1,0,0,0,0,0,0,0,"0,1","0,1",0,13,4,67,6,2,11,12,0,165,530,40,255,5,188,0,15,20,3,25,7,3,48,17,6,13,0,28,11,6,19,11,15,13,6,24,14,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildfrüchte,1
2412,Wildgemüse,Wildgemüse,,50,211,"5,9","0,7","4,9","3,7","4,1",0,"0,1","0,1","0,4",0,0,"0,4",189,0,"0,9","0,6","0,2","0,1","0,2",0,0,0,"0,7","0,3",0,190,147,424,44,85,116,37,0,265,2156,74,368,3,134,0,210,222,1135,327,43,1363,393,153,68,160,0,309,272,82,210,170,170,152,83,155,211,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildgemüse,1
2413,Wildkaninchen,Wildkaninchen,,103,431,"19,8","2,4",0,0,0,0,"0,7","0,4","0,6","0,1",0,0,0,0,"0,5",0,0,"0,1","0,4",0,0,0,"7,5","0,8",0,12,65,384,27,50,237,196,0,530,3360,29,35,1,1526,0,1150,1388,36,1902,282,12,3765,1046,594,1079,0,1836,1640,507,916,1134,947,997,221,719,1132,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildkaninchen,1
2414,Wildkaninchen gegart,Wildkaninchen gegart,,146,610,"29,4","2,8",0,0,0,0,"0,9","0,5","0,7","0,1",0,0,0,0,"0,6",0,0,"0,1","0,2",0,0,0,"5,7","0,5",0,11,73,359,27,57,236,199,0,559,3084,30,43,1,1320,0,1485,2025,160,2564,387,313,5033,1604,809,1411,0,2315,2376,801,1283,1559,1180,1293,330,969,1484,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildkaninchen gegart,1
2415,Wildreis,Wildreis,,345,1442,"6,6","2,1","73,3","0,1",2,0,"0,6","0,5","0,7",0,0,0,0,0,"0,8",0,"0,4","0,1","0,7",0,0,0,"4,8","1,8",0,23,221,155,149,9,309,85,0,259,2392,55,1001,2,1566,0,446,415,45,631,82,24,1520,302,123,342,0,584,296,120,361,357,322,285,72,325,460,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildreis,1
2416,Wildschwein,Wildschwein,,112,470,"19,7","3,5",0,0,0,0,"1,5","1,5","0,2","0,1",0,0,0,0,"0,2",0,"0,1","0,2","0,4",0,0,0,"5,3","0,6",0,10,63,330,21,86,157,188,0,107,1711,27,28,5,2183,0,1148,1205,277,1597,232,558,3214,1014,508,1043,0,1506,1639,532,835,956,824,815,200,617,975,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildschwein,1
2417,Wildschwein Keule,Wildschwein Keule,,113,474,"20,1","3,4",0,0,0,0,"1,6","1,3","0,2","0,1",0,0,0,0,"0,2",0,"0,1","0,2","0,4",0,0,0,"5,2","0,7",0,11,59,355,23,95,170,206,0,110,1822,32,27,6,2430,0,1084,1344,453,1878,239,722,2995,1004,522,1043,0,1399,1513,464,835,995,864,867,224,636,1004,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wildschwein Keule,1
2418,Wilstermarsch,Wilstermarsch,,341,1426,"23,2","26,5",0,0,0,0,"16,1","7,9",1,"0,1",0,"0,3",0,0,"0,7",0,0,"0,4","0,1",0,0,0,"0,1","0,5",0,810,1100,102,41,686,460,188,0,99,515,122,43,30,3720,0,600,764,16,1553,90,0,4842,389,511,1300,0,2356,1685,506,1078,2347,1302,911,322,1240,1415,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wilstermarsch,1
2419,Wilstermarsch Vollfettstufe,Wilstermarsch Vollfettstufe,,323,1351,"25,5","23,5",0,0,0,0,"14,3","6,9","0,9","0,1",0,"0,3",0,0,"0,8",0,0,"0,3","0,1",0,0,0,"0,1","0,5",0,743,1089,92,42,728,475,200,0,97,460,115,42,31,4360,0,581,749,676,1422,90,2141,4500,400,565,1086,0,2023,1878,538,1158,2602,1217,1026,289,1076,1489,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wilstermarsch Vollfettstufe,1
2420,Wintermelone,Wintermelone,,27,115,"0,9","0,1","5,6","1,3",1,0,0,0,0,0,0,"0,3","17,3",0,"0,1",0,"0,1",0,"0,1",0,0,0,"0,4","0,2",0,5,43,202,8,11,7,12,0,42,420,9,40,0,110,0,43,33,143,85,5,142,84,35,15,27,0,49,43,8,23,31,35,25,10,19,30,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wintermelone,1
2421,Wintermelone Fruchtsaft,Wintermelone Fruchtsaft,,32,132,"0,9","0,1","6,7","1,2",0,0,0,0,0,0,0,"0,3","9,2",0,"0,1",0,0,0,"0,1",0,0,0,"0,3","0,2",0,5,37,192,8,10,7,13,0,44,370,10,43,0,131,0,37,28,156,72,5,175,81,27,13,24,0,41,43,8,22,31,31,27,8,16,28,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wintermelone Fruchtsaft,1
2422,Wintermelone getrocknet,Wintermelone getrocknet,,281,1175,"8,4",1,"58,5","11,7","9,7",0,"0,3","0,1","0,3",0,0,"2,1","115,2",0,"0,9","0,1","0,5","0,1","0,6",0,0,"0,2","3,4","1,5",0,51,395,2012,82,110,67,122,0,391,3755,101,352,0,1091,0,377,301,1250,847,46,1283,869,301,124,240,0,470,474,85,212,288,372,258,81,181,329,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wintermelone getrocknet,1
2423,Wintermelone Konserve,Wintermelone Konserve,,66,275,"0,7","0,1","15,3","0,6","0,9",0,0,0,0,0,0,"0,2","3,6",0,"0,1",0,0,0,0,0,0,0,"0,2","0,1",0,6,35,131,7,7,6,10,0,53,329,15,35,1,155,0,32,27,95,58,5,104,64,28,12,23,0,39,39,7,20,25,30,23,9,15,25,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wintermelone Konserve,1
2424,Winterzwiebel,Winterzwiebel,,28,119,"1,3","0,3",5,"2,9","1,7",0,"0,1",0,"0,1",0,0,"0,1","28,3",0,"0,2","0,3",0,"0,1","0,1",0,0,0,"0,3","0,1",0,42,29,250,11,7,28,50,0,62,1976,39,196,2,475,0,36,176,99,73,22,293,215,52,15,24,0,37,61,13,37,42,35,23,17,40,27,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Winterzwiebel,1
2425,Winterzwiebel getrocknet,Winterzwiebel getrocknet,,288,1206,14,"2,8","50,5","32,4",18,0,"0,6","0,4","1,3",0,0,"0,5","113,1",0,"2,4","3,2","0,4","0,6",1,0,0,"0,2","2,5","1,3",0,358,273,2295,114,59,264,479,0,520,15947,390,1944,22,4144,0,340,1841,1343,710,221,3529,1866,543,135,219,0,330,538,142,347,394,390,230,170,418,279,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Winterzwiebel getrocknet,1
2426,Winterzwiebel Konserve,Winterzwiebel Konserve,,25,105,"1,2","0,3","4,4","2,5","1,6",0,"0,1",0,"0,1",0,0,"0,1","7,2",0,"0,3","0,3",0,0,0,0,0,0,"0,2","0,1",0,41,499,135,8,211,25,40,0,72,1388,35,169,3,380,0,35,154,79,70,22,221,195,49,13,21,0,30,55,12,32,35,32,20,18,36,24,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Winterzwiebel Konserve,1
2427,Wirsingkohl,Wirsingkohl,,24,102,"2,9","0,4","2,3","1,6","2,5",0,"0,1",0,"0,2",0,0,0,"46,9",0,"2,6","0,1","0,1","0,1","0,2",0,0,"0,1","0,3","0,2",0,51,24,229,13,10,52,80,0,64,981,13,210,5,318,0,122,221,10,258,35,28,668,77,57,92,0,145,148,31,89,539,165,109,32,53,114,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wirsingkohl,1
2428,Wirsingkohl gegart,Wirsingkohl gegart,,20,86,"2,5","0,4","1,6","1,2","2,2",0,"0,1",0,"0,2",0,0,0,"21,2",0,"2,7","0,1",0,0,"0,1",0,0,0,"0,2","0,2",0,48,19,134,7,7,49,82,0,71,651,12,198,5,235,0,114,192,35,214,31,10,585,70,56,82,0,140,125,25,87,565,157,89,29,52,105,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wirsingkohl gegart,1
2429,Wittling,Wittling,,81,338,"18,2","0,7",0,0,0,0,"0,1","0,2","0,2",0,0,0,"1,5",0,"0,2",0,"0,1","0,2","0,3",0,0,0,"2,8","0,2",0,41,96,273,23,97,137,281,0,188,763,37,19,125,612,0,1164,959,892,1599,182,1292,2317,694,473,751,0,1286,1705,460,685,607,790,742,167,533,892,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wittling,1
2430,Wittling gesalzen,Wittling gesalzen,,69,288,"15,3","0,7",0,0,0,0,"0,1","0,2","0,2","0,1",0,0,"1,4",0,"0,2",0,"0,1","0,2","0,3",0,0,0,"2,8","0,2",0,77,10614,302,46,6360,171,322,0,202,727,47,53,119,642,0,952,921,351,1458,146,529,2201,626,387,699,0,1234,1311,427,554,560,771,725,150,480,863,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wittling gesalzen,1
2431,Wollwurst,Wollwurst,,285,1193,"12,6",25,"0,3","0,3","0,1",0,"8,3","12,3","2,9","0,1",0,0,"0,1",0,"0,3",0,"0,5","0,1","0,3",0,0,0,"1,8","0,3",0,12,949,220,17,720,94,119,0,62,769,35,72,2,1299,0,617,728,367,1114,143,651,1974,660,381,533,0,863,986,287,513,505,478,564,125,413,678,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wollwurst,1
2432,Worcestershiresauce,Worcestershiresauce,,141,591,"3,8","2,2","25,9","9,4","4,1",0,"0,5","0,6","0,6",0,0,"0,2","13,5",0,"1,2",0,"0,1","0,1","0,1",0,0,0,"2,1","0,3",0,82,3099,775,78,1941,103,56,0,337,7290,46,1784,4,1016,0,135,144,401,449,28,573,641,116,61,116,0,194,179,36,119,110,117,102,33,69,154,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Worcestershiresauce,1
2433,Wurstsülze,Wurstsülze,,234,980,"12,5","19,6","0,1",0,0,0,"7,3","9,2","1,9",0,0,"0,1",0,0,"0,3",0,"0,5","0,1","0,3",0,0,0,2,"0,3",0,6,565,210,19,388,95,99,0,52,591,38,48,1,1126,0,827,793,42,1162,157,28,1920,982,415,613,0,957,1169,289,489,775,561,512,136,419,624,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wurstsülze,1
2434,Wurzelpetersilie,Wurzelpetersilie,,40,167,"3,1","0,5","5,7","0,5",4,0,"0,1",0,"0,2",0,0,0,"42,6",0,"1,8",0,"0,1","0,1","0,2",0,0,0,2,"0,1",0,41,28,367,28,11,56,40,0,202,893,79,153,1,167,0,95,99,172,303,8,433,761,77,40,94,0,117,112,24,71,308,94,79,27,33,135,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wurzelpetersilie,1
2435,Wurzelpetersilie gegart,Wurzelpetersilie gegart,,32,134,"2,6","0,4","4,2","0,3","4,6",0,"0,1",0,"0,2",0,0,0,"24,6",0,"1,7","0,1","0,1","0,1","0,2",0,0,0,"1,4","0,1",0,40,28,199,18,5,50,37,0,212,823,72,154,1,133,0,84,95,79,267,10,224,759,77,41,86,0,113,102,27,68,253,84,84,25,33,132,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wurzelpetersilie gegart,1
2436,Wurzelpetersilie getrocknet,Wurzelpetersilie getrocknet,,237,992,"17,6",3,"33,9","2,9","27,4",0,"0,6","0,3","1,5",0,0,0,"105,6",0,"8,8","0,3","0,5","0,4","1,1",0,0,"0,1","10,6","0,7",0,218,185,2137,158,62,339,246,0,1046,4836,438,812,6,1116,0,549,615,731,1854,62,1807,4584,519,264,630,0,752,630,178,417,1834,583,478,176,205,761,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wurzelpetersilie getrocknet,1
2437,Wurzelpetersilie Konserve,Wurzelpetersilie Konserve,,33,136,"2,5","0,4","4,5","0,4","4,3",0,"0,1",0,"0,2",0,0,0,"11,2",0,"1,6","0,1",0,"0,1","0,1",0,0,0,"0,9","0,1",0,39,506,224,21,221,48,35,0,209,629,70,131,3,182,0,92,103,56,258,8,148,689,71,37,93,0,113,104,26,70,256,81,75,24,31,129,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Wurzelpetersilie Konserve,1
2438,Würfelpastete,Würfelpastete,,281,1175,17,"22,6","0,3","0,2","0,1",0,"7,9","10,9","2,5","0,1",0,0,"23,4",0,"0,3",0,"0,5","0,1","0,4",0,0,0,"2,1","0,4",0,12,1283,246,22,946,126,151,0,88,5873,51,90,2,1623,0,966,921,653,1520,205,1050,2444,845,557,759,0,1214,1260,361,597,764,740,684,181,525,760,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Würfelpastete,1
2439,Würstchen,Würstchen,,268,1120,"16,7","21,4","0,2","0,2","0,1",0,"8,3","9,7","2,3","0,1",0,0,0,0,"0,4",0,"0,5","0,2","0,3",0,0,0,"2,6","0,4",0,11,1162,281,20,841,144,143,0,69,955,50,71,2,1701,0,841,900,511,1559,197,900,2749,781,491,799,0,1075,1317,413,639,636,637,720,166,549,811,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Würstchen,1
2440,Yamsbohne,Yamsbohne,,42,177,"1,5","0,2","8,5","0,1","0,7",0,0,0,"0,1",0,0,0,"21,8",0,0,0,0,0,0,0,0,0,"0,3","0,1",0,15,18,166,15,6,19,7,0,86,594,8,62,1,856,0,36,69,402,376,10,86,80,31,37,33,0,52,46,13,33,42,43,36,13,22,39,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Yamsbohne,1
2441,Yamsbohne getrocknet,Yamsbohne getrocknet,,345,1444,"11,8","1,7","69,2","0,6","6,3",0,"0,4","0,1","0,6",0,0,0,"72,8",0,0,"0,2","0,2","0,2","0,2",0,0,0,2,"0,9",0,119,157,1549,143,54,143,55,0,613,5261,65,500,8,6811,0,327,652,2428,3298,87,525,713,272,292,283,0,381,443,103,249,415,357,281,129,193,383,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Yamsbohne getrocknet,1
